PC1,PC2,fibro_type,theta,mode
1.4818594849278968,0.4598881887799899,interstitial,-1.5708,threshold
1.0698389669120805,0.5530041211331463,interstitial,-1.5708,threshold
1.2073936070391844,0.6454445597979568,interstitial,-1.5708,threshold
1.7124889390271374,0.3876152179715994,interstitial,-1.5708,threshold
1.5404208151207845,0.4456593917983215,interstitial,-1.5708,threshold
0.7162807460240963,0.23516959858552003,interstitial,-1.5708,threshold
1.5493776279039708,0.4272875368754932,interstitial,-1.5708,threshold
1.2662196813661448,0.2125117626096054,interstitial,-1.5708,threshold
1.039177730641966,0.6137262448955075,interstitial,-1.5708,threshold
1.2680316436497583,0.46248581945381034,interstitial,-1.5708,threshold
0.3525440305828091,0.6660388544622284,interstitial,-1.5708,threshold
1.8071204977531754,0.4485830376646606,interstitial,-1.5708,threshold
1.4558189580485172,0.3601017112503374,interstitial,-1.5708,threshold
0.9621364079393541,0.46642585561590705,interstitial,-1.5708,threshold
1.3539005146681071,0.45194930447617465,interstitial,-1.5708,threshold
1.7389378163820652,0.22673615872754602,interstitial,-1.5708,threshold
1.1917767177782141,0.6342439183729048,interstitial,-1.5708,threshold
0.922224195631392,0.3510238009185981,interstitial,-1.5708,threshold
1.702073036010442,0.2876238895016869,interstitial,-1.5708,threshold
1.5120278529776814,0.46928562486997255,interstitial,-1.5708,threshold
0.7919322519572791,0.2975359096127709,interstitial,-1.5708,threshold
1.5837032073092308,0.7670824601723117,interstitial,-1.5708,threshold
2.2982574560323616,0.24627952653887558,interstitial,-1.5708,threshold
1.6480959785179816,0.7784175141913083,interstitial,-1.5708,threshold
0.6894896342365952,0.5330072003097595,interstitial,-1.5708,threshold
1.657207167993893,0.8329855707436179,interstitial,-1.5708,threshold
1.9183674880590988,0.45910468510476427,interstitial,-1.5708,threshold
0.7662530672938518,0.19807795110798335,interstitial,-1.5708,threshold
0.5512509492222512,0.7177060839303427,interstitial,-1.5708,threshold
2.0662822890432353,0.4907848366336955,interstitial,-1.5708,threshold
1.5969908791815257,0.5791786536695633,interstitial,-1.5708,threshold
1.2152123647790674,0.4412071766411425,interstitial,-1.5708,threshold
1.5136747528650414,0.604443594586458,interstitial,-1.5708,threshold
1.4315759205589895,0.7140708767866338,interstitial,-1.5708,threshold
2.0235461531975543,0.9004565691404355,interstitial,-1.5708,threshold
1.2904683144946518,0.5957529295374344,interstitial,-1.5708,threshold
1.7936265269946294,0.18959436692517564,interstitial,-1.5708,threshold
2.0110402755767014,0.39214703996391037,interstitial,-1.5708,threshold
