fibro_typename,seed,orientation_10,major_axis_10,minor_axis_10,orientation_20,major_axis_20,minor_axis_20,orientation_30,major_axis_30,minor_axis_30,orientation_40,major_axis_40,minor_axis_40,orientation_50,major_axis_50,minor_axis_50,orientation_60,major_axis_60,minor_axis_60,orientation_70,major_axis_70,minor_axis_70,orientation_80,major_axis_80,minor_axis_80,orientation_90,major_axis_90,minor_axis_90
patchy,30,-29.067333,12.248202,6.807896,-27.983936,18.596225,10.154093,-28.544960,25.807616,13.237273,-30.228404,36.683301,15.694930,-32.313417,51.299086,18.271988,-32.544899,66.575383,22.815687,-33.430919,90.000691,30.504149,-34.130325,132.640938,45.208885,-34.038708,231.452434,85.079408
patchy,31,-26.454466,17.460052,5.526636,-29.191994,23.650047,9.067308,-29.890965,29.968158,12.387649,-31.253941,38.987159,15.324697,-32.591062,51.654334,18.529855,-33.287088,68.430365,22.935391,-33.700617,93.932812,30.339218,-33.668369,138.932770,44.714996,-35.135518,232.687025,85.505081
patchy,32,-30.928068,21.115272,5.006507,-30.392835,27.016391,8.261956,-30.077180,32.499914,11.544754,-30.104480,40.552742,14.576552,-30.405745,52.252865,17.660153,-30.809321,68.696452,21.745901,-31.451660,94.216960,28.755539,-31.798660,136.103813,44.038667,-33.294445,233.191422,85.388422
patchy,33,-32.363769,14.964303,5.881996,-33.458850,22.898565,8.480083,-32.312970,29.041692,11.444834,-32.166999,36.273827,14.515988,-32.120855,48.008594,17.325247,-32.245016,63.093326,21.712960,-32.913782,89.318028,28.228011,-34.061999,130.466450,42.923417,-34.576332,231.088050,82.897758
patchy,34,-30.678875,14.305917,5.818176,-30.205867,21.234244,8.670995,-29.949643,27.614177,11.454293,-30.180239,34.521966,14.616248,-30.877493,44.669622,18.235092,-31.288611,63.311309,22.344032,-32.686529,90.537334,29.445537,-33.568034,130.683867,44.551759,-34.706877,238.926752,82.304064
patchy,35,-33.063195,16.601637,5.803868,-32.829950,23.809260,8.936361,-32.579082,30.420448,11.997070,-32.151001,38.355807,15.392020,-31.933604,51.137594,18.758875,-32.928177,72.607399,22.501524,-33.374992,96.491496,30.655392,-33.931814,135.228065,47.094070,-34.825099,241.573803,86.773409
patchy,36,-33.511528,13.099493,7.015041,-31.233023,20.614612,10.151558,-33.228217,29.066412,12.797500,-32.856860,39.461648,15.485252,-33.086016,54.224811,17.815541,-33.967880,69.735088,22.306299,-34.655100,94.068373,29.602797,-34.411576,134.704196,45.273031,-35.057312,243.405696,83.410014
patchy,37,-29.463535,20.491796,5.364481,-28.900598,25.654864,9.108445,-30.016301,32.562292,12.248649,-30.868689,43.173932,14.642580,-32.222376,55.803791,17.390885,-32.818653,69.591591,22.103545,-33.824980,93.642474,29.298171,-33.508491,133.306992,44.130074,-33.574970,237.063025,84.020183
patchy,38,-29.588034,26.851743,5.095897,-30.137743,31.011223,8.539958,-31.360470,37.814465,11.728634,-31.638681,46.974970,14.766342,-32.647892,59.028769,18.301544,-33.016063,76.412189,23.099051,-34.231352,104.228212,30.148126,-33.916358,146.850985,45.914342,-34.045066,259.438033,86.808972
patchy,39,-28.877850,31.972107,5.650604,-29.059411,33.206661,8.180159,-29.796005,39.518023,11.246435,-31.023229,48.632879,14.235676,-31.649584,60.028391,17.854345,-32.288443,76.912066,22.556495,-33.444333,104.659617,29.361003,-34.279977,142.449741,46.119969,-34.025428,256.068946,85.118087
