fibro_typename,seed,orientation_10,major_axis_10,minor_axis_10,orientation_20,major_axis_20,minor_axis_20,orientation_30,major_axis_30,minor_axis_30,orientation_40,major_axis_40,minor_axis_40,orientation_50,major_axis_50,minor_axis_50,orientation_60,major_axis_60,minor_axis_60,orientation_70,major_axis_70,minor_axis_70,orientation_80,major_axis_80,minor_axis_80,orientation_90,major_axis_90,minor_axis_90
diffuse,66,-70.339711,30.356095,21.632330,-77.774122,61.405637,24.240856,-81.891973,74.620031,27.718766,-83.334330,99.581160,32.778624,-84.280104,129.621467,39.043942,-85.166054,161.124633,52.228820,-84.198752,219.776179,66.977501,-85.047262,315.854934,92.319069,-86.993137,444.361202,134.023400
diffuse,67,44.403926,23.043122,18.976027,-86.345245,62.175155,23.420375,-84.061688,75.387371,27.192363,-84.692280,94.584603,33.780075,-84.607662,126.358076,39.843519,-84.361603,160.992640,52.117334,-85.077104,219.447555,67.887900,-85.233534,326.970320,90.822480,-87.658776,439.772370,136.924567
diffuse,68,70.008165,30.435555,19.665298,-86.545375,64.764665,22.501844,-84.848342,81.134552,26.497041,-84.780868,100.296163,32.517356,-84.486589,124.823746,41.373672,-84.547833,168.963953,52.483798,-84.658351,224.890260,68.049149,-85.411491,318.114960,93.666179,-87.336752,443.657354,135.590023
diffuse,69,-84.241761,38.168388,17.714794,-87.980131,78.719203,20.199474,-85.832600,87.759521,24.053051,-84.858256,100.796932,30.740115,-84.478695,119.332535,40.778093,-83.378970,163.378814,50.916726,-83.348504,215.756334,67.218052,-84.881654,324.997076,89.162072,-87.726475,442.745506,134.519416
diffuse,70,-85.728777,58.059369,16.741049,-88.208050,84.702744,19.993063,-87.140062,84.523353,25.015797,-85.090577,110.649920,30.320986,-84.629194,131.343067,37.663821,-84.135941,158.041207,51.345379,-84.267972,220.688549,65.323194,-85.133804,325.688359,87.872741,-87.726941,442.190252,133.376788
diffuse,71,-80.111033,27.537147,18.790534,-85.645726,73.518755,17.147517,-85.185331,86.912804,26.627310,-84.305623,110.089715,31.943605,-84.077259,129.036394,38.699807,-84.676465,159.513147,50.767812,-84.141422,218.345937,65.908477,-85.594981,322.315065,88.907295,-87.619142,443.469036,133.577795
diffuse,72,-83.556958,50.073365,17.654443,-83.903680,70.801070,18.615559,-83.670694,81.101231,25.963359,-83.873468,109.243622,30.558152,-84.021591,130.092300,37.712896,-84.391646,163.393183,49.811262,-84.110239,220.189615,65.199238,-84.709247,324.021583,88.899926,-87.826934,445.600650,134.103598
diffuse,73,-72.509843,32.068270,20.847338,-84.540497,70.544015,21.819519,-84.564925,82.468762,26.701710,-84.450955,104.547649,32.200403,-84.316347,130.459908,39.224003,-84.191482,174.015508,49.533044,-84.077250,226.532380,66.749800,-85.014825,328.904745,90.594430,-87.545290,445.433698,136.080103
diffuse,74,-76.968248,35.994407,19.364876,-80.538526,73.474521,22.251375,-82.667158,81.546286,26.223374,-83.336808,98.075100,32.950085,-84.114687,127.866293,39.712621,-84.699705,166.861286,51.336161,-83.885742,221.650635,67.232141,-85.146907,321.959392,90.394713,-86.969689,439.096902,135.799419
diffuse,75,78.760283,14.738949,13.855358,-87.219615,60.322871,21.082586,-84.887386,77.184026,24.089915,-82.898366,92.306695,30.922705,-83.494974,120.585847,37.542242,-83.372557,159.729313,47.990811,-84.110602,208.315937,65.571039,-84.966170,301.303239,90.622342,-87.882385,434.675164,133.106746
diffuse,76,-0.000000,16.061852,15.724575,-86.308707,71.355809,21.067652,-86.495504,79.610002,25.202898,-85.093313,92.268029,31.207013,-83.531049,122.800575,37.670145,-84.471612,158.874430,48.387016,-83.887156,208.004898,66.301351,-84.984338,305.318893,90.078099,-87.238960,436.786880,133.721448
diffuse,77,15.691314,19.669478,16.697704,-85.626224,73.543761,26.704502,-86.208989,83.922909,28.680652,-84.754097,96.926786,33.432980,-83.963752,125.239349,38.706640,-83.909334,160.313553,48.847043,-84.500449,217.996462,64.157218,-85.129020,315.500860,88.504590,-87.222867,444.744452,131.363307
diffuse,78,-76.200074,50.722132,16.714013,-82.396522,77.913695,20.511399,-84.265904,84.008938,25.492202,-84.604260,99.902509,32.664506,-84.227865,128.618510,38.460151,-83.590784,162.929107,50.344370,-83.835761,220.025448,66.569430,-84.645544,320.481248,90.725546,-87.283242,447.279175,134.840118
diffuse,79,-81.499910,63.109099,15.176436,-82.028346,79.206605,18.328751,-82.652127,84.823815,23.528455,-83.977651,97.433734,31.516978,-84.677740,127.616338,37.646814,-83.779643,158.805716,49.868721,-84.066016,210.028660,65.556259,-84.687787,309.500684,89.268773,-87.464881,445.498237,132.827118
diffuse,80,-16.783159,17.060606,15.878106,-83.792897,82.401785,19.482610,-82.884085,82.803351,24.674232,-83.419789,99.453372,32.935347,-84.252207,132.114569,39.765600,-83.850911,170.061395,51.579849,-84.001638,223.358148,68.646560,-84.352741,317.361923,95.067553,-87.453663,443.839398,137.882395
diffuse,81,1.585364,18.004397,16.395714,-82.472030,80.777318,21.128073,-82.678275,83.064832,25.926930,-82.915311,95.367720,33.147639,-83.452397,128.323268,38.745789,-83.990533,169.279856,49.366106,-84.154385,221.504029,65.821878,-84.704110,319.024084,90.419065,-87.265513,448.659690,134.521785
diffuse,82,1.037748,19.932964,17.047775,-86.056275,87.099808,19.806565,-84.715890,87.843558,25.142920,-83.489113,101.310586,30.247505,-83.736902,128.709594,35.940480,-84.753984,155.718397,49.906308,-84.353573,218.014026,64.078409,-85.235800,318.610265,88.304251,-87.078784,445.578027,133.115821
diffuse,83,10.826908,19.569183,17.182616,-88.896665,81.139678,19.704818,-86.617628,83.645367,23.831063,-84.985223,98.205703,31.414735,-84.623881,126.682477,38.424047,-85.886151,161.365083,51.085368,-84.488241,219.585704,66.062558,-84.989914,314.403269,92.041783,-87.820667,443.066502,134.524388
diffuse,84,-81.039980,48.022786,19.115441,-82.934452,77.293454,18.563652,-83.696727,86.515312,24.516936,-83.575434,101.524484,32.602244,-84.513409,131.482254,40.464335,-84.886434,169.411753,51.603685,-84.548186,227.057037,66.355712,-85.165446,318.308979,93.730746,-87.572343,447.021515,135.586226
diffuse,85,-70.643242,28.384230,17.069903,-83.594056,78.186297,18.087759,-85.081801,88.982435,24.784087,-84.433328,110.153179,32.172236,-84.014476,132.920383,39.227517,-84.582835,167.532385,50.331719,-84.227943,221.347705,65.426774,-84.764159,325.810989,88.387243,-87.534001,445.096799,134.161587
diffuse,86,-82.799006,37.143234,19.138708,-82.849965,81.662830,18.158715,-83.307489,87.876315,24.893225,-83.689042,105.027663,32.921887,-83.803451,131.198980,40.196968,-83.633716,167.525886,52.787967,-84.222840,224.359659,67.930317,-84.783554,328.484836,90.882895,-87.171546,445.220000,136.142746
diffuse,87,-82.738225,39.166370,20.633538,-81.891138,79.596418,20.020870,-84.185724,85.305970,24.964305,-84.158103,105.722949,31.590278,-84.034906,130.991057,38.628841,-84.342773,169.237465,50.237471,-84.000845,215.172890,68.014557,-85.243272,318.967256,91.046669,-87.009611,442.074773,135.867322
diffuse,88,-81.708773,29.778230,19.197692,-86.430596,77.514623,19.373447,-86.219163,85.336048,24.613082,-84.528654,108.058068,30.637932,-83.544822,130.889419,37.735794,-83.547836,164.962344,50.264441,-83.822728,213.171516,68.045477,-84.418082,320.454482,91.042750,-86.789153,439.578249,136.072234
diffuse,89,-87.205844,80.341996,16.119803,-87.405647,86.336046,19.282396,-87.245846,90.224222,25.443012,-85.718353,107.161759,33.199475,-83.761912,135.343152,40.858166,-84.135490,174.436798,52.113677,-84.321662,224.898905,69.772924,-84.606762,328.428475,92.621722,-86.567936,442.212614,137.559479
diffuse,90,-86.126047,75.175703,15.240829,-86.648328,82.527482,18.426327,-85.371067,87.346789,24.401919,-85.143837,103.095524,32.121541,-84.484092,130.966897,40.510699,-84.607122,174.623241,50.351301,-84.436947,222.948541,67.250427,-84.892472,326.170983,91.925165,-86.839945,442.273524,135.959822
diffuse,91,-84.137722,71.845946,14.611988,-84.456038,88.213977,19.233949,-84.584603,86.495461,24.866807,-84.128954,103.353530,32.305257,-83.921955,128.684463,39.110147,-85.283922,163.697995,50.242945,-84.918704,218.668965,66.044298,-84.801469,316.863263,91.295824,-87.029000,440.944495,135.298933
diffuse,92,-88.866145,36.601717,17.803767,-86.502748,83.142559,19.070652,-86.314635,85.951235,23.619501,-85.619462,98.925510,31.632268,-85.193344,123.325079,39.791891,-85.394261,164.668972,50.228862,-84.364738,218.973743,66.976498,-85.065563,320.930087,90.849268,-87.198513,442.434793,135.696178
diffuse,93,36.777208,19.593186,17.310570,-85.913165,80.617166,22.331289,-85.780950,81.815638,25.905861,-85.369639,95.526045,32.996942,-84.253363,124.462722,39.546892,-85.323659,162.455922,50.385262,-84.437184,218.681450,66.034817,-84.863228,315.207923,91.329746,-87.445897,440.344841,135.342781
diffuse,94,83.866536,32.820145,20.005981,89.501961,75.171425,23.990344,-86.005007,82.663912,28.314245,-84.161986,99.019861,34.613728,-84.198563,127.961031,41.593586,-83.861635,166.466448,52.302227,-84.131931,227.296932,67.366782,-84.866672,326.117455,92.313223,-86.716965,443.172925,137.940680
diffuse,95,84.835142,48.665714,21.049326,-88.719301,75.304062,24.337288,-85.552035,85.223674,27.967312,-83.538407,113.479954,32.611082,-82.992811,134.790909,41.338871,-83.620402,176.338468,52.100024,-84.264837,232.821921,69.235512,-85.616180,338.892939,93.585601,-87.183276,449.845784,139.446489
diffuse,96,75.331688,35.740829,20.764456,89.899778,63.186343,24.171293,-84.977953,82.745177,26.906652,-84.092921,109.864816,31.873004,-83.397413,132.382836,39.085138,-83.624797,167.288490,51.588287,-84.076498,219.616333,69.018291,-84.842993,328.696644,90.952693,-87.641300,445.456168,136.165491
diffuse,97,81.401227,46.236206,15.485861,88.946480,62.957322,20.037683,-85.462247,81.890573,25.762519,-84.217203,104.199793,31.395338,-84.473499,130.349333,37.992369,-83.900847,164.164716,50.981469,-84.189307,219.507965,68.002203,-84.964869,325.190548,90.526283,-86.724263,449.493415,136.639239
diffuse,98,40.268839,18.789830,16.684612,-88.657389,66.787332,22.202945,-84.653496,86.071153,25.697392,-83.445991,99.341532,32.825437,-83.870757,127.161626,39.250464,-83.230125,167.508458,49.495928,-83.796284,216.421859,66.769756,-84.445730,314.631181,90.743941,-86.856738,441.637831,135.184726
diffuse,99,14.741280,17.135576,15.615765,88.201373,60.514680,25.690847,-85.530441,78.426176,28.418708,-84.027682,96.375645,33.657684,-84.104406,125.658539,40.178182,-84.671079,171.143867,49.262222,-83.943526,215.078747,68.284881,-84.701564,323.520422,91.354945,-87.001947,445.691952,136.900589
diffuse,100,-85.310739,37.489278,19.547368,-85.718248,72.895249,21.538548,-84.598314,83.326291,26.228998,-84.559210,97.157234,34.149947,-85.054235,125.481391,41.667818,-84.380585,174.835394,50.356486,-84.660697,223.848792,69.019337,-84.700082,333.431795,92.197591,-88.225057,445.864520,139.253738
