fibro_typename,seed,orientation_10,major_axis_10,minor_axis_10,orientation_20,major_axis_20,minor_axis_20,orientation_30,major_axis_30,minor_axis_30,orientation_40,major_axis_40,minor_axis_40,orientation_50,major_axis_50,minor_axis_50,orientation_60,major_axis_60,minor_axis_60,orientation_70,major_axis_70,minor_axis_70,orientation_80,major_axis_80,minor_axis_80,orientation_90,major_axis_90,minor_axis_90
interstitial,37,-66.136845,40.452397,6.744135,-65.979426,40.562442,9.758009,-66.703250,49.289961,13.037240,-67.192864,64.030856,16.194787,-67.468403,83.160004,20.673895,-67.910956,107.938249,28.795371,-68.239768,144.260177,43.789224,-68.912744,206.264961,69.611288,-69.922058,335.642930,115.907017
interstitial,38,-67.759160,24.245869,6.431107,-67.321540,33.445958,10.411269,-67.363823,46.129905,13.355371,-66.935586,59.884525,16.990503,-67.057844,82.989814,20.750192,-67.087134,112.309501,27.578967,-67.518380,148.506409,43.630101,-69.838985,203.120121,71.662744,-70.679868,332.710260,116.557936
interstitial,39,-68.281651,34.299657,6.472889,-67.506049,36.854365,9.005871,-67.289544,44.965396,12.267878,-67.432796,57.013522,15.836454,-67.705858,78.580403,19.595646,-68.234463,108.586368,26.632166,-69.392254,141.283893,43.398586,-70.232681,194.250575,70.912973,-70.208454,330.642860,112.695845
interstitial,40,-64.323150,24.153087,6.314764,-65.506707,34.365373,10.183082,-66.005025,45.854283,14.029748,-66.868500,65.558619,17.022321,-67.377966,89.257355,21.544191,-67.691262,118.793399,29.245070,-68.102807,153.620619,44.728558,-70.853332,207.718167,71.226176,-70.275963,339.111044,118.826653
interstitial,41,-64.718273,29.428081,5.443321,-64.808749,38.276769,9.075164,-64.950465,46.530470,12.925889,-65.582092,61.485354,16.306930,-65.558145,80.718451,20.895561,-66.486823,105.253353,29.806039,-68.086010,134.830957,47.196037,-68.369292,195.087795,70.751162,-70.082264,319.488117,116.146958
interstitial,42,-68.091102,33.102252,6.550386,-69.033058,34.394000,8.927586,-68.380969,41.432101,12.463296,-67.839305,52.636751,15.715752,-67.991062,70.717736,19.587938,-68.002122,99.069113,25.460232,-68.413445,135.301167,38.731260,-68.462789,202.142493,60.477471,-70.462221,323.884972,109.220770
interstitial,43,-65.999631,26.515407,5.582492,-66.305630,31.968479,9.320304,-67.121963,39.602155,13.048999,-68.461727,53.077969,16.245307,-68.485325,71.115197,20.554873,-68.276980,99.404707,27.595799,-69.009413,139.507260,42.369237,-72.155365,193.425796,66.919784,-71.133100,322.538461,109.779902
interstitial,44,-68.195023,30.781758,6.218632,-69.007336,34.376099,10.339171,-68.473119,45.879543,13.707077,-68.582040,61.743109,17.174029,-68.160887,81.611823,22.578262,-68.580513,107.871478,32.568082,-70.413951,148.575786,49.257378,-70.959339,203.479738,77.520501,-71.383967,341.062216,120.895269
interstitial,45,-67.938613,40.294869,7.389631,-67.721531,45.271727,10.239634,-68.050507,60.522157,12.994552,-68.185337,76.813725,16.740035,-68.271359,98.262867,21.797326,-68.899903,120.404642,31.468735,-70.511985,152.942588,47.155001,-70.371649,209.381076,75.442471,-70.893706,352.269201,119.541277
interstitial,46,-66.026644,39.959509,6.631562,-65.704424,42.288426,9.528756,-65.149095,54.624612,12.537342,-65.408462,71.376750,15.526748,-65.713969,92.725534,19.810905,-66.161128,119.950434,27.581660,-68.054042,150.404788,45.348631,-69.628170,207.850768,71.521273,-70.106255,338.142859,117.135268
interstitial,47,-67.091567,25.290610,5.149806,-68.255398,30.322904,8.831644,-68.314935,37.655961,12.247701,-68.814605,48.521608,15.479313,-69.907944,64.535951,19.261669,-69.915557,89.261486,25.123839,-70.434596,124.618844,39.233099,-73.131833,169.232753,67.605233,-71.434891,308.032410,109.110163
