generation_mode,fibro_typename,density,theta,seed,orientation_10,major_axis_10,minor_axis_10,orientation_20,major_axis_20,minor_axis_20,orientation_30,major_axis_30,minor_axis_30,orientation_40,major_axis_40,minor_axis_40,orientation_50,major_axis_50,minor_axis_50,orientation_60,major_axis_60,minor_axis_60,orientation_70,major_axis_70,minor_axis_70,orientation_80,major_axis_80,minor_axis_80,orientation_90,major_axis_90,minor_axis_90
threshold,interstitial,0.09600,-1.57080,17,7.259181,24.384140,6.275458,5.960304,27.937864,10.734680,5.745379,35.430905,14.855932,5.431288,46.288042,18.961296,3.613886,59.776720,25.463954,2.239319,78.701209,37.501985,3.701532,101.542024,59.364234,1.312896,134.367020,96.346462,1.537753,233.993583,145.516747
threshold,interstitial,0.09600,-1.57080,18,-2.430787,18.024022,6.829596,-0.922695,26.802042,10.503635,-0.218127,35.889079,14.043715,-0.686142,48.855656,17.208853,-1.488303,63.184625,22.839850,-1.996341,84.032493,32.283512,-0.331882,107.817307,53.286000,0.966366,145.973864,90.423751,1.342430,243.401127,137.598145
threshold,interstitial,0.09600,-1.57080,19,0.144103,24.512065,6.153109,-1.120466,32.134173,10.485872,-1.967240,41.358610,14.503206,-3.311442,54.235775,18.998492,-4.269594,71.863160,25.830098,-4.817555,89.884171,38.725493,-5.171584,112.598309,61.302769,-5.252291,147.296195,97.320832,1.876464,244.579769,142.241400
threshold,interstitial,0.09600,-1.57080,20,-0.000000,25.954539,6.181385,-0.409228,30.617155,9.925526,0.275252,38.184267,14.062046,0.720640,48.132224,19.008558,1.763981,65.740382,25.371592,2.366233,81.636191,39.511356,0.660347,109.306940,60.068376,-0.466848,139.484353,104.893234,-0.431887,235.663253,152.652962
threshold,interstitial,0.09600,-1.57080,21,-2.036767,13.810738,7.567265,-3.191067,21.396087,11.799553,-3.674191,32.142931,14.915552,-3.876553,46.241901,17.964874,-3.641237,61.515849,23.308181,-3.238968,77.814477,34.171276,-1.925019,99.850993,54.288323,-0.918292,134.082722,92.666531,2.094818,230.306669,140.009476
threshold,interstitial,0.09600,-1.57080,22,12.382315,22.495094,6.469657,10.314296,27.805749,11.314109,8.281774,37.037224,15.482768,5.690852,52.132627,19.286283,4.007180,66.621309,26.349933,3.040003,81.853859,39.539492,5.559600,106.718822,62.276003,6.522216,149.100525,98.433579,2.017741,241.752223,153.137201
threshold,interstitial,0.09600,-1.57080,23,-7.372367,25.617141,6.909539,-7.502633,34.425106,11.227065,-6.772997,44.070543,15.408379,-6.256899,54.768537,20.997377,-4.916608,72.089469,28.697911,-3.652845,93.538972,42.328933,-3.965193,114.641404,70.311381,-2.358351,151.534426,103.690779,-1.613271,246.082777,150.285675
threshold,interstitial,0.09600,-1.57080,24,7.077954,16.050551,7.310408,4.538705,23.591190,11.564896,6.180524,31.959130,15.964481,6.009524,43.473974,21.204063,4.475655,55.490609,31.695624,6.273175,77.579222,45.456675,5.502048,104.157907,69.651365,1.107788,142.753787,108.225126,3.336414,239.563765,155.234182
threshold,interstitial,0.09600,-1.57080,25,-0.000000,15.592021,6.751314,0.200749,22.971414,10.317305,1.088239,29.175771,14.306555,2.056488,38.623541,18.298384,2.714696,53.238384,23.663976,5.030983,72.137168,35.623800,3.345637,96.762791,58.067949,2.454780,127.925652,103.753664,-0.625042,223.295349,153.581824
threshold,interstitial,0.09600,-1.57080,26,10.362779,16.382262,7.717935,8.129776,24.454698,11.998630,5.984627,32.868589,16.174639,5.526648,44.309913,21.148651,5.029187,60.243115,28.579205,3.586427,77.746897,44.771938,4.332373,101.515024,69.042740,9.622546,142.639475,107.105962,4.315230,236.346963,157.377564
threshold,interstitial,0.09600,-1.57080,27,-0.000000,31.409452,7.307608,0.816535,32.732690,10.999568,0.568459,39.570246,15.474008,1.143682,51.011754,20.101570,0.392267,67.069084,26.550414,0.244350,86.476254,39.564365,-1.360055,106.442888,64.724373,-1.780626,141.001789,101.576255,-1.268573,241.497605,148.782681
threshold,interstitial,0.09600,-1.57080,28,-6.896214,17.022732,6.570649,-7.849089,23.877886,10.508137,-7.632185,31.546532,14.243559,-7.392205,41.568210,18.449243,-6.066878,56.124212,24.208526,-3.757467,75.920759,34.095178,-0.256069,99.306744,57.549675,-0.518276,138.884925,93.299836,0.548494,225.034960,147.686467
threshold,interstitial,0.09600,-1.57080,29,11.907836,13.617574,7.084374,10.168773,20.533153,11.044585,9.975148,28.677166,14.840443,6.877007,42.082608,18.103802,6.083448,57.646591,23.367096,4.944065,75.309229,33.476000,2.938205,101.066322,51.139055,2.316556,131.951906,92.887605,1.696556,219.936815,149.335368
threshold,interstitial,0.09600,-1.57080,30,2.131306,23.665555,6.906452,-0.016641,30.127044,11.755747,-0.746527,40.461294,15.992753,-1.848823,53.287294,21.299297,-1.622154,66.996472,30.386096,0.510187,81.809384,44.377653,0.191764,107.193932,64.645063,-1.380944,145.024060,106.420842,0.406690,241.922941,155.624506
threshold,interstitial,0.09600,-1.57080,31,4.751097,21.784043,6.523821,3.910396,27.008536,11.753089,2.255422,33.639504,16.752195,1.598371,44.886509,21.689150,2.967389,58.257070,29.300835,2.853666,76.964223,41.479424,-2.568452,95.950607,67.111451,-4.259080,136.189146,105.172523,1.601780,228.386902,157.218175
threshold,interstitial,0.09600,-1.57080,32,2.549196,31.266730,6.753316,2.876355,32.588317,9.863043,3.199488,37.604338,13.976121,2.459570,46.481718,18.206154,1.943775,60.307506,23.780403,0.432067,77.528985,34.280626,-2.922359,100.016510,57.065796,-3.577583,133.241660,98.516138,-0.846846,228.297964,144.884458
threshold,interstitial,0.09600,-1.57080,33,5.473780,19.700869,6.921983,3.905576,28.190568,11.057262,2.819475,35.725153,15.648608,2.086678,45.921268,20.787899,0.447262,59.595418,28.001313,-1.362249,79.787876,40.173157,1.204620,99.075238,66.594457,5.241243,141.502944,100.543423,2.948972,236.742185,152.544113
threshold,interstitial,0.09600,-1.57080,34,2.947464,15.591395,7.351665,4.663807,23.411402,11.426013,4.862223,31.753310,15.671700,5.658005,43.262780,20.395227,6.315574,58.598388,27.605388,4.388061,76.988117,42.498867,1.101658,98.817809,70.584212,6.021886,139.159502,104.943396,0.706672,235.153714,155.435794
threshold,interstitial,0.09600,-1.57080,35,9.869984,22.755930,6.706795,9.182237,28.159748,11.496485,6.765197,36.142664,16.319514,5.835324,48.479391,21.539504,7.088760,62.109213,30.447431,8.783617,79.573566,46.445876,9.004892,102.834990,71.861773,4.603108,138.638324,113.660539,3.617707,236.319177,165.181838
threshold,interstitial,0.09600,-1.57080,36,5.263507,20.914307,6.613217,4.751860,27.631214,11.163029,3.352051,35.779692,15.479734,2.534267,47.457066,19.804495,2.496159,60.810494,26.692048,1.960335,78.774526,37.623602,3.133559,103.594100,57.906658,2.285567,141.715955,95.853660,1.578391,233.982405,148.929073
threshold,interstitial,0.09600,-1.57080,37,-10.043442,30.765763,7.149653,-10.247513,32.496295,10.992258,-10.312298,39.747524,15.495818,-7.770292,50.668772,20.495859,-4.685855,65.687472,27.235035,-1.691822,85.222379,37.994032,-0.950580,106.417243,60.462006,-1.868001,144.691284,97.277909,-0.881993,243.060478,141.955427
threshold,interstitial,0.09600,-1.57080,38,-0.065601,24.050180,7.102736,-1.786288,31.875951,11.672746,-2.235112,41.940463,15.849834,-2.173841,54.460292,20.547123,-2.033649,70.226630,27.138513,-2.905823,89.405589,39.469988,-2.483367,112.357347,64.194372,0.577878,146.595419,104.856491,-0.463820,250.806454,146.020578
threshold,interstitial,0.09600,-1.57080,39,9.548695,19.152965,6.130957,8.443680,25.525632,10.173828,6.589961,31.852378,14.518449,5.450018,42.393660,18.554226,4.830596,57.850847,24.144343,5.203696,78.887298,34.814778,4.854957,97.474816,60.323469,-0.651818,135.633457,95.152946,1.782977,234.013249,140.644026
threshold,interstitial,0.09600,-1.57080,40,-3.112915,18.308602,6.585882,-3.285864,23.644218,11.407474,-0.229261,31.210426,15.813503,1.579582,44.316648,19.765576,2.931931,60.643267,25.815116,2.728622,81.910583,36.803402,3.381777,103.531571,60.588611,-5.358741,141.812236,96.512143,-0.952606,229.688889,149.211216
threshold,interstitial,0.09600,-1.57080,41,-6.224611,25.066978,5.881370,-7.244645,29.098304,10.148212,-6.183689,35.541725,14.581628,-4.877385,47.126666,18.694220,-2.296972,61.799972,24.999224,-0.440505,82.593013,35.278423,-1.182390,101.461033,61.596404,-2.164331,143.464974,95.709737,-0.852917,240.484951,145.592338
threshold,interstitial,0.09600,-1.57080,42,-0.000000,24.133326,6.550071,0.703727,28.360277,11.259769,0.588800,35.503795,15.912820,1.328238,48.229832,20.237372,0.715340,64.722529,26.616265,1.075455,82.551249,39.659612,3.070992,105.808494,61.315123,2.203011,143.726342,97.478425,0.222719,239.703548,143.438776
threshold,interstitial,0.09600,-1.57080,43,-3.176201,23.623222,5.866903,-3.081184,27.262309,10.194829,-3.614123,33.811985,14.512281,-3.093432,45.271483,18.458395,-3.261112,59.985921,24.754438,-1.328809,77.819497,36.346743,0.204498,98.085841,60.809127,-6.873098,136.359213,96.543516,-4.956934,223.347868,151.286860
threshold,interstitial,0.09600,-1.57080,44,1.316217,28.411364,6.705620,0.980878,32.641594,10.663509,0.669560,42.767494,14.255405,0.781620,54.651445,18.796302,1.736921,69.876403,26.105749,2.244016,86.864614,39.526071,2.540620,110.354204,63.217954,4.257161,148.394991,100.862617,2.090427,247.294487,144.791902
threshold,interstitial,0.09600,-1.57080,45,-5.812198,18.845378,6.404132,-6.287504,26.083252,10.446834,-4.111761,33.759755,14.564537,-3.696681,46.134742,18.288377,-1.802018,60.590033,25.210074,1.040566,78.533690,37.991356,2.248865,100.743989,61.513131,1.205481,135.458792,106.015435,2.184143,230.020972,153.986948
threshold,interstitial,0.09600,-1.57080,46,-9.334132,15.814151,7.081138,-10.407979,21.471983,11.898757,-10.944930,28.568631,15.984279,-10.087117,39.096371,20.019019,-9.712694,52.574259,25.979523,-7.600928,71.581103,36.153285,-5.804026,96.705902,57.010252,-3.621619,133.035871,91.872675,0.779067,222.741645,147.506965
threshold,interstitial,0.09600,-1.57080,47,-3.658867,28.867014,6.211817,-2.276125,31.748099,9.151379,-1.732538,38.084098,13.094586,-1.182145,48.420333,16.995779,-0.305151,64.679291,21.953963,-0.554705,82.082577,32.780948,-1.714922,102.605291,56.298953,1.403018,130.280030,99.771022,0.817910,233.302255,145.114131
threshold,interstitial,0.09600,-1.57080,48,-10.464785,18.142036,6.534268,-12.484711,23.655998,11.231664,-10.813149,30.429209,15.748470,-8.906103,42.402848,19.392953,-7.297270,56.919862,24.639668,-6.736090,75.861079,33.648276,-6.663725,104.204204,50.758087,-4.288188,136.694458,89.413271,-3.249251,220.915678,146.035211
threshold,interstitial,0.09600,-1.57080,49,0.821220,20.797041,5.576161,-0.161805,25.840080,9.914314,0.742770,31.922041,13.919338,1.555701,41.135477,17.804981,2.638608,53.691246,23.350093,3.604738,70.648970,33.593258,5.953286,96.448461,52.004706,3.281758,134.646934,87.535901,0.838306,224.970696,140.432624
threshold,interstitial,0.09600,-1.57080,50,3.255212,26.997059,6.329059,2.429669,31.922412,10.918188,2.225120,40.451683,15.369671,1.607759,54.178537,19.558896,1.164994,69.903271,26.487876,1.861474,89.644638,37.997195,0.981278,112.157658,60.272891,-0.230823,150.281462,96.826794,1.022873,246.563339,144.364145
threshold,interstitial,0.09600,-1.57080,51,-4.292749,21.295991,5.887673,-1.762417,24.888545,10.082255,-2.816592,30.859020,14.410916,-3.412454,40.675664,18.786078,-3.816310,55.327831,25.044933,-2.372122,77.043023,35.835390,-4.582047,96.770022,62.757026,-1.557273,132.349721,98.313114,-3.328063,229.540674,149.402192
threshold,interstitial,0.09600,-1.57080,52,2.898484,23.552475,6.399734,1.657577,27.909206,11.626229,1.245785,35.096725,16.651659,0.944256,46.237855,21.707023,1.604720,59.322093,29.708903,1.793894,79.674444,42.004460,1.529662,108.606420,61.713151,3.011481,142.953951,99.614241,2.117392,236.412504,147.779564
threshold,interstitial,0.09600,-1.57080,53,-9.655736,13.949871,6.863203,-9.606336,20.151220,10.877775,-10.870783,27.011598,14.516683,-9.737368,36.116643,18.552974,-8.599901,48.455814,24.382675,-6.832982,66.703713,33.670080,-2.490024,93.368127,52.397623,-3.468648,134.090486,87.962711,0.528988,219.955075,146.298871
threshold,interstitial,0.09600,-1.57080,54,-2.885151,15.213013,7.190376,-2.984595,23.076901,11.207709,-3.624323,32.189779,14.896604,-5.033358,45.575539,18.647261,-5.284448,62.442546,24.633063,-5.921270,78.957072,36.294911,-7.174820,101.756992,56.343899,-8.444475,136.598683,92.836359,-2.539505,236.798891,138.769559
threshold,interstitial,0.09600,-1.57080,55,2.971383,21.897647,6.798907,3.414543,26.620847,11.808017,4.311786,35.122368,16.227576,5.032220,46.087336,21.200427,4.224728,60.619973,27.661255,4.199129,82.299888,37.246950,1.989041,107.311586,58.769848,1.545531,143.273270,96.460424,-0.196934,236.228660,143.480479
threshold,interstitial,0.09600,-1.57080,56,-6.115750,18.462348,6.718236,-4.769610,26.119162,10.733514,-4.738779,34.242658,14.802159,-4.926432,45.721488,19.472004,-5.783404,62.993520,26.289993,-6.486214,85.089251,38.929463,-4.447834,102.352134,65.950105,-2.259670,136.574602,105.669673,-3.051023,230.841344,155.521925
