fibro_typename,theta,seed,orientation_10,major_axis_10,minor_axis_10,orientation_20,major_axis_20,minor_axis_20,orientation_30,major_axis_30,minor_axis_30,orientation_40,major_axis_40,minor_axis_40,orientation_50,major_axis_50,minor_axis_50,orientation_60,major_axis_60,minor_axis_60,orientation_70,major_axis_70,minor_axis_70,orientation_80,major_axis_80,minor_axis_80,orientation_90,major_axis_90,minor_axis_90
compact,0.15708,83,90.000000,5.437704,4.274870,-65.697369,7.396504,6.378620,90.000000,9.893215,7.740129,-84.435405,11.620846,9.393315,-77.238288,13.818619,11.220260,-84.542943,16.126668,13.114079,-82.051984,19.155375,15.272784,-84.876736,25.103489,18.189779,-86.867943,53.890999,22.774762
compact,0.15708,84,90.000000,5.437704,4.274870,80.782526,7.745269,6.664913,90.000000,10.219806,8.019817,-88.145369,12.882764,9.374089,-89.443167,14.794337,11.441148,-85.081555,17.396860,13.609009,90.000000,21.547961,15.846171,-89.894677,31.084529,19.296828,-85.991676,69.961722,24.316311
compact,0.15708,85,-63.434949,5.474022,4.641536,-74.710387,8.801871,6.130577,-87.957192,10.917720,8.192816,-84.441751,13.555117,9.576928,-84.888916,15.668991,11.531660,-83.946793,18.658948,13.384552,-82.783882,22.700409,15.610580,-83.043787,30.011733,19.099388,-84.588393,62.540547,24.793247
compact,0.15708,86,90.000000,5.437704,4.274870,-56.309932,7.503845,6.755814,-88.448853,10.441216,7.971581,-85.330944,12.825478,9.424976,-82.642464,15.008783,11.191533,-81.346333,17.231382,13.432881,-83.861629,21.093275,15.566512,-81.917750,28.228569,18.863175,-83.371664,66.650773,23.125363
compact,0.15708,87,90.000000,5.437704,4.274870,-65.697369,7.396504,6.378620,90.000000,9.893215,7.740129,-87.076414,11.611398,9.512397,-78.570576,13.669726,11.249678,-87.308149,15.870514,13.321416,-81.165403,19.386906,15.219343,-82.426484,25.605130,17.834495,-84.143902,54.656926,22.358347
compact,0.15708,88,-63.434949,5.341660,4.932883,-84.479530,8.692744,6.771884,-84.669826,10.732882,8.790911,-80.948038,13.185081,10.535784,-81.671077,15.560767,12.607956,-82.848819,19.069101,14.428775,-83.627791,24.233279,16.639566,-85.798160,35.311532,19.326842,-84.507767,76.508368,26.569652
compact,0.15708,89,-80.782526,6.318475,4.544040,-86.869665,9.096482,6.843274,-78.943080,11.466563,8.766522,-81.700753,14.490294,10.324639,-83.458178,17.042308,12.348970,-81.184960,20.370143,14.398687,-84.588906,25.377810,16.907317,-84.782697,37.922553,19.442463,-84.819009,75.861122,28.143236
compact,0.15708,90,-63.434949,5.474022,4.641536,-82.657589,8.072935,6.834457,-87.957192,10.917720,8.192816,-78.212647,13.229075,10.021724,-82.599565,15.830023,11.759420,-87.462533,18.987724,13.824909,-84.428223,23.334596,16.482262,-84.891082,35.186473,18.526340,-85.802513,72.656440,23.436586
compact,0.15708,91,-78.801201,5.401104,4.512088,-74.086277,8.212114,6.279569,-87.598257,10.828175,7.522758,-84.127183,12.663181,9.453268,-83.891337,14.694338,11.262155,-84.950384,17.093604,13.323112,-81.839512,20.708492,15.439644,-83.512445,26.933733,18.732364,-85.260662,60.216977,23.600712
compact,0.15708,92,90.000000,5.597619,3.883727,-71.565051,7.023769,6.690697,-82.789613,9.841227,7.501537,-84.435405,11.620846,9.393315,90.000000,13.301503,11.454942,-83.982850,15.609855,13.447045,-84.173492,18.979691,15.564859,-87.715715,25.295853,18.452536,-84.181291,53.374218,23.516330
compact,0.15708,93,90.000000,5.437704,4.274870,0.000000,6.930803,6.930803,90.000000,9.731926,8.147546,-88.189514,11.428193,10.137420,-87.729065,13.915545,11.638519,-87.388026,16.651790,13.449227,-85.176197,19.860639,16.252440,-85.293508,28.048143,18.974542,-84.677110,59.663041,24.345421
compact,0.15708,94,90.000000,5.773503,3.464102,-83.244244,7.133973,6.258122,-74.810437,9.645563,7.343071,-87.104472,11.152162,9.231654,90.000000,12.792171,11.129055,90.000000,15.046360,12.850988,-88.020928,17.886498,15.088069,-89.441390,22.868300,17.772720,-86.352026,49.861207,20.612838
compact,0.15708,95,90.000000,6.461763,4.060939,-87.650660,9.485941,5.956030,-81.833746,11.727369,7.719732,-85.828615,13.681903,9.581380,-83.951265,15.801668,11.517216,-85.740396,18.970501,13.213368,-83.412437,22.629750,15.668661,-83.906756,30.726078,18.887919,-84.108989,67.057446,24.029057
compact,0.15708,96,-63.434949,5.474022,4.641536,-86.655283,8.432221,6.833487,90.000000,10.782528,8.517312,-82.381319,13.266440,10.289631,-86.333559,15.354399,12.449483,-87.216712,18.814804,14.229155,-85.172388,23.236477,16.825911,-87.079197,35.233558,18.976314,-86.141921,70.598737,25.887452
compact,0.15708,97,-78.801201,5.401104,4.512088,-70.206484,7.491907,6.957585,90.000000,9.484130,8.839306,-85.972793,12.857317,9.730142,-86.536702,15.369532,11.497684,-87.045562,17.773663,14.069223,-87.055750,22.809327,16.106913,-86.850340,32.871473,18.770389,-85.779406,73.034304,23.909904
