fibro_typename,seed,orientation_10,major_axis_10,minor_axis_10,orientation_20,major_axis_20,minor_axis_20,orientation_30,major_axis_30,minor_axis_30,orientation_40,major_axis_40,minor_axis_40,orientation_50,major_axis_50,minor_axis_50,orientation_60,major_axis_60,minor_axis_60,orientation_70,major_axis_70,minor_axis_70,orientation_80,major_axis_80,minor_axis_80,orientation_90,major_axis_90,minor_axis_90,fibro_type
compact,78,83.686373,6.477813,4.94235,82.288919,9.43031,7.252851,84.717063,12.453927,9.192942,85.885242,15.465194,11.023134,87.1262,18.791534,13.272152,87.597917,23.580322,15.551227,87.492344,32.126908,18.179479,86.657819,53.506633,20.696909,87.230066,102.441148,33.088789,compact
compact,79,0.0,5.219013,5.219013,83.37974,9.097676,6.967929,84.754261,11.318825,9.204548,84.235655,14.320189,10.950934,85.375588,17.120423,13.155987,84.509359,21.086307,15.512617,86.067021,29.187617,17.639913,86.408309,49.047819,20.456617,85.951756,98.479836,32.224794,compact
compact,80,90.0,5.68406,5.104959,75.472698,8.753828,6.970678,81.446227,11.27211,9.129277,88.659606,14.088528,10.862558,85.807998,16.954152,12.984287,84.45976,21.037796,15.119786,85.394727,28.704869,17.495909,86.975953,47.270613,20.262425,86.000427,93.248594,31.768062,compact
compact,81,90.0,6.124316,4.998551,90.0,9.035876,7.265281,87.900413,12.034809,9.196013,84.962834,14.912333,11.095526,86.325036,17.934172,13.281286,86.87923,22.687967,15.381228,85.706906,30.68215,17.884753,85.955804,50.756517,20.304202,85.39293,97.561408,32.179762,compact
compact,82,80.279983,6.840402,4.869863,90.0,9.717214,7.327822,86.995497,12.806887,9.132227,88.258868,15.52694,11.135997,86.928396,19.018333,13.051595,85.69214,23.277333,15.362484,85.400479,31.159273,17.544018,86.157382,48.100704,20.766826,85.396931,97.984742,32.374487,compact
compact,83,80.279983,6.840402,4.869863,90.0,9.988854,7.263739,85.325793,12.918274,9.149896,90.0,15.839422,11.24013,86.952053,19.412249,13.177073,86.980198,24.119073,15.311618,86.975673,32.372192,17.555625,85.825574,50.15306,21.093239,85.273499,102.008301,32.953082,compact
compact,84,74.960599,6.95738,4.921994,81.807636,10.24285,7.334404,84.324556,13.331305,9.338684,85.464958,16.564161,11.223993,85.401168,20.429837,13.209192,85.789175,25.473947,15.498942,86.066634,33.712284,18.345136,85.967156,52.903892,22.392376,85.055193,111.116774,34.291962,compact
compact,85,70.26377,7.108585,4.942771,75.127559,11.326879,6.72428,78.08406,13.695055,9.179414,81.767704,17.243562,10.915556,80.652354,20.977184,12.869331,82.318518,25.621992,15.204071,82.521675,33.446946,17.991573,84.723739,54.080806,20.916504,83.702146,108.05572,32.727167,compact
compact,86,81.127664,7.415379,5.101338,77.101488,11.936187,6.936569,80.674982,15.510383,8.785972,79.540336,19.090053,10.607642,81.168465,22.242621,12.944464,82.143428,27.478173,15.20207,82.78409,35.742123,18.268732,84.54409,59.028992,20.897512,84.240085,115.049469,33.864976,compact
compact,87,83.133089,7.829179,5.035161,80.139968,11.851444,6.990156,80.196487,15.298435,8.901549,80.380678,18.526723,10.995975,82.256494,22.50776,12.965351,82.9503,27.665062,15.282827,84.158329,36.421317,18.116277,85.446916,57.320873,21.486753,84.616202,115.554129,34.843479,compact
compact,88,74.960599,6.95738,4.921994,76.717474,10.805714,6.816496,82.109623,13.391131,9.094652,80.534533,16.490355,11.040622,82.109208,19.9461,13.147577,82.209045,25.182858,15.371803,83.733142,34.155986,18.005599,85.228354,55.610106,20.678251,83.748521,106.546792,33.63336,compact
compact,89,80.279983,6.840402,4.869863,83.586284,9.719558,7.194678,80.495773,12.773997,9.071747,83.967558,15.75022,11.002568,83.269711,19.197314,13.06455,85.156322,23.676099,15.371089,84.687556,32.76804,17.418923,84.764448,51.453627,20.798287,84.836636,105.490089,32.955147,compact
compact,90,80.279983,6.840402,4.869863,81.174938,10.11278,6.819937,90.0,12.814435,8.928346,86.817657,15.480128,10.936505,83.993209,18.875438,12.818364,87.901166,22.914346,15.107663,87.178752,30.320769,17.66123,86.069204,49.737149,20.458324,85.804761,103.335975,31.445643,compact
compact,91,90.0,7.313103,4.883836,88.228329,11.179421,7.143643,86.332897,14.5557,9.014198,86.538625,17.334487,11.227136,86.108122,21.138575,13.185667,86.234373,25.832985,15.575613,85.751683,34.656247,17.938873,85.144117,52.952436,21.462023,85.510878,109.593717,33.091717,compact
compact,92,84.47953,8.233888,4.967514,82.757633,12.812888,6.766102,85.862054,15.998272,8.927201,86.588269,19.278956,10.968027,85.748785,23.06758,13.074197,86.58784,27.871121,15.536143,86.856553,38.025496,17.438137,85.794646,55.67285,21.550036,85.79006,113.731004,33.232084,compact
compact,93,87.306215,8.215387,4.854399,85.893939,12.14494,7.037417,86.228478,15.440544,8.988167,86.38224,19.252256,10.723743,86.615688,22.968938,12.810162,86.008431,27.578351,15.280485,86.771503,36.772494,17.42592,85.922807,56.75982,20.501544,84.972536,111.144808,31.364794,compact
compact,94,81.127664,7.415379,5.101338,86.412838,11.205196,7.235215,82.13551,14.710519,9.091879,83.516641,18.332077,10.921604,84.921532,21.962975,13.16369,84.306017,27.434417,15.311199,85.794298,37.643725,17.259768,85.278913,57.719987,20.283996,84.846086,108.174743,32.291298,compact
