PC1,PC2,fibro_type
-6.878425829513355,1.6381631598523447,compact
-6.696651785997701,1.713759961661732,compact
-6.734860640588467,1.536736565216129,compact
-6.895268052427043,1.6631595135093082,compact
-6.678286521988089,1.5514876949022596,compact
-6.6884396553400745,1.5634539431489172,compact
-6.6674821932549575,1.536023293269151,compact
-6.59927714685043,1.7727591057831429,compact
-6.64160835139661,1.7363016606102957,compact
-6.7545748976502615,1.6757377201181218,compact
-6.641380105321407,1.6848391524192998,compact
-6.701695723795432,1.637760872148639,compact
-6.681487988891986,1.598857635984991,compact
-6.717600975084698,1.523723370657722,compact
-6.744343942398432,1.5140180328086592,compact
-6.766681845387032,1.6302046662049547,compact
-6.899377139524153,1.576583405603124,compact
-6.863891343026073,1.5616167296550632,compact
-6.770462298653449,1.590870442585199,compact
-6.71826383065905,1.7578487956640594,compact
-6.850024733190432,1.7304440929270226,compact
-6.756885027023302,1.7191232626825015,compact
-5.500068888345856,-0.531034986148297,compact
-6.744408993214159,1.6893641930739636,compact
-6.700372128827609,1.708142900985111,compact
-6.767195926690289,1.700563352310906,compact
-6.7998129297058,1.6285074924656626,compact
-6.803345770067535,1.6496507180454616,compact
-6.712965342443729,1.7880055792089087,compact
-5.89954965573422,0.014747143817917488,compact
-6.630397663666987,1.6407055013680463,compact
-6.6133459920048585,1.7280532586339834,compact
-6.598950605730109,1.6908744477800879,compact
-6.632296074652114,1.5778842354170595,compact
-6.771067344264623,1.552754862948882,compact
-6.7344520182524,1.5374858059891032,compact
-6.740740739782383,1.6938640627705372,compact
-6.8544990854923045,1.6199099156743415,compact
-6.848281923827702,1.5501801489013631,compact
-6.840655565092341,1.5356162408148093,compact
-6.873841753824238,1.6150269879550787,compact
-6.864648715187102,1.5369324163314224,compact
-6.79194377058023,1.5374469799334927,compact
-6.723836660974682,1.7200822304975383,compact
-6.619017001969868,1.5598532792419113,compact
-6.7056043400149425,1.560210259582848,compact
-6.758951012904793,1.5643228896254961,compact
-6.691766230906914,1.6466983752305742,compact
-6.7156767196567895,1.5537935250037158,compact
-6.756340346425844,1.5524471160856468,compact
-6.653920486923758,1.5462789951942995,compact
-6.704021008178977,1.4938152753267693,compact
-6.643548277899558,1.6088728351942003,compact
-6.6412860584655,1.6002959830374963,compact
-6.663081904593164,1.586667351294132,compact
-6.633752859831599,1.5920949904327741,compact
-6.557882276608471,1.6839880092951667,compact
-6.606505129724424,1.4938931367285535,compact
-6.62907740233859,1.5085962459653015,compact
-6.671161283471479,1.502242956186334,compact
-6.6744057589252215,1.5565595785671729,compact
-6.685843343254225,1.5335221582354779,compact
-6.584800320679471,1.737591974132675,compact
-6.54019392404844,1.5935859727018629,compact
-6.542394294254814,1.5734652925774653,compact
-6.650590984788668,1.4643116127083369,compact
-6.695151018819488,1.542036728633042,compact
-6.911909329165507,1.436612459408528,compact
-6.882265965389778,1.5980890671916488,compact
-6.7920207613705745,1.662344805986962,compact
-6.925513279475713,1.5553497627792936,compact
-6.845387712503137,1.495432209519417,compact
-6.854483327764808,1.5962284410276817,compact
-6.933122891965841,1.6646375875311559,compact
-6.76345274563873,1.6016489995854166,compact
-6.7399967376510945,1.3920818876484127,compact
-6.855931442234069,1.7011787686953934,compact
-6.919066024531385,1.6293207376858492,compact
-6.827138179672485,1.043988142077721,compact
-7.022289655323255,1.5791935241614599,compact
-6.9910590565491795,1.6881364076206908,compact
-6.956132970127142,1.6181893487965113,compact
-6.929391803218575,1.632970468928263,compact
-6.784385618698436,1.5649744549373779,compact
-6.734356059885603,1.389523852788875,compact
-6.681807528306681,1.489504618873672,compact
-6.686360956933151,1.53522415968843,compact
-6.768702727199708,1.4501181934930971,compact
-6.866228475315467,1.5282291812208555,compact
-6.971801576943102,1.550646542114541,compact
-6.842344122611914,1.688281139402177,compact
-6.7572854674599965,1.624889733368505,compact
-6.814200207373519,1.645289280696858,compact
-6.77263700903579,1.605030035117503,compact
-6.726973843069269,1.5857721326992225,compact
-6.715352171850153,1.5732033892590134,compact
-6.9023413408880385,1.7711449164728261,compact
-5.621810287045223,-0.5204748172607115,compact
-6.032590266510777,-0.033291335204520524,compact
-5.454516619305968,-0.5068454688927956,compact
6.944058488541326,2.886791201549057,diffuse
6.100762802587458,3.150116748125162,diffuse
6.524856689551067,1.256719681873375,diffuse
6.938586180126972,1.1702617455276632,diffuse
6.504085736421343,2.3154251433571678,diffuse
6.207003745771419,2.3738909843789795,diffuse
5.416816341375999,2.600821066219613,diffuse
4.771168933538593,3.1089421603277763,diffuse
6.722262879310701,1.3562157909759949,diffuse
7.0853930659978746,1.348942569546113,diffuse
7.08957739156219,0.9261461756372363,diffuse
7.476484791414451,0.8680802064027413,diffuse
6.393242288283712,2.1879966053176685,diffuse
6.901150949732195,1.2690513577244655,diffuse
6.384423286127437,2.3306937970283585,diffuse
6.771331528784945,1.5413804320007372,diffuse
6.167044952511719,2.365581401629096,diffuse
6.1028828191772435,2.0516580656151135,diffuse
5.599858622428432,1.6394762402587466,diffuse
5.910345468055851,1.819391243997482,diffuse
5.716024216182242,1.6671203020219039,diffuse
5.634663093546603,1.4743294485666079,diffuse
6.440590643385347,2.6901187907828596,diffuse
7.257611252542113,1.9761641970550976,diffuse
7.291136362568837,1.8655798646549553,diffuse
6.399701625314933,2.316165921182762,diffuse
6.374831644241318,2.379671373850384,diffuse
6.386006473646122,2.306778387077253,diffuse
6.970425938732233,1.2554607575871608,diffuse
