PC1,PC2,fibro_type,theta
1.4818594849278968,0.4598881887799899,interstitial,-1.5708
1.0698389669120805,0.5530041211331463,interstitial,-1.5708
1.2073936070391844,0.6454445597979568,interstitial,-1.5708
1.7124889390271374,0.3876152179715994,interstitial,-1.5708
1.5404208151207845,0.4456593917983215,interstitial,-1.5708
0.7162807460240963,0.23516959858552003,interstitial,-1.5708
1.5493776279039708,0.4272875368754932,interstitial,-1.5708
1.2662196813661448,0.2125117626096054,interstitial,-1.5708
1.039177730641966,0.6137262448955075,interstitial,-1.5708
1.2680316436497583,0.46248581945381034,interstitial,-1.5708
0.3525440305828091,0.6660388544622284,interstitial,-1.5708
1.8071204977531754,0.4485830376646606,interstitial,-1.5708
1.4558189580485172,0.3601017112503374,interstitial,-1.5708
0.9621364079393541,0.46642585561590705,interstitial,-1.5708
1.3539005146681071,0.45194930447617465,interstitial,-1.5708
1.7389378163820652,0.22673615872754602,interstitial,-1.5708
1.1917767177782141,0.6342439183729048,interstitial,-1.5708
0.922224195631392,0.3510238009185981,interstitial,-1.5708
1.702073036010442,0.2876238895016869,interstitial,-1.5708
1.5120278529776814,0.46928562486997255,interstitial,-1.5708
0.7919322519572791,0.2975359096127709,interstitial,-1.5708
1.5837032073092308,0.7670824601723117,interstitial,-1.5708
2.2982574560323616,0.24627952653887558,interstitial,-1.5708
1.6480959785179816,0.7784175141913083,interstitial,-1.5708
0.6894896342365952,0.5330072003097595,interstitial,-1.5708
1.657207167993893,0.8329855707436179,interstitial,-1.5708
1.9183674880590988,0.45910468510476427,interstitial,-1.5708
0.7662530672938518,0.19807795110798335,interstitial,-1.5708
0.5512509492222512,0.7177060839303427,interstitial,-1.5708
2.0662822890432353,0.4907848366336955,interstitial,-1.5708
1.5969908791815257,0.5791786536695633,interstitial,-1.5708
1.2152123647790674,0.4412071766411425,interstitial,-1.5708
1.5136747528650414,0.604443594586458,interstitial,-1.5708
1.4315759205589895,0.7140708767866338,interstitial,-1.5708
2.0235461531975543,0.9004565691404355,interstitial,-1.5708
1.2904683144946518,0.5957529295374344,interstitial,-1.5708
1.7936265269946294,0.18959436692517564,interstitial,-1.5708
2.0110402755767014,0.39214703996391037,interstitial,-1.5708
0.8277972751533959,0.6665738539308596,interstitial,-1.5708
1.1607337572940557,0.44619068331353307,interstitial,-1.5708
1.2487983935377092,0.25172492827982634,interstitial,-1.5708
1.5256003195383139,0.5143387565924495,interstitial,-1.5708
1.0796834137055857,0.2668001414971419,interstitial,-1.5708
1.8457974625506592,0.5357058915094359,interstitial,-1.5708
1.1913073800312446,0.37383393276690957,interstitial,-1.5708
0.8041715344308891,0.0791019779827578,interstitial,-1.5708
1.098311341037071,0.3375731832438382,interstitial,-1.5708
0.7772606966716337,0.023181790124827337,interstitial,-1.5708
0.47908757862125745,0.4961939547396184,interstitial,-1.5708
1.769975756181584,0.5141381651860596,interstitial,-1.5708
0.9162259344478689,0.27963736726872657,interstitial,-1.5708
1.6390865524864275,0.5813787397600455,interstitial,-1.5708
0.3381259954717311,0.07709574849945101,interstitial,-1.5708
0.9381491280574915,0.17207789180712985,interstitial,-1.5708
1.4121969382391493,0.6149270859165897,interstitial,-1.5708
1.426956435256047,0.2323915882275578,interstitial,-1.5708
1.4500003647319923,0.2149576603038728,interstitial,-1.5708
1.3413395395414742,0.28593670824373085,interstitial,-1.5708
1.2434417032939784,0.1280571632840111,interstitial,-1.5708
1.5413472579745418,0.2522390854112353,interstitial,-1.5708
0.5795948563164721,0.6223943446691474,interstitial,-1.5708
0.9201694175047308,0.48632533096011926,interstitial,-1.5708
1.8422147563765299,0.2633780292845728,interstitial,-1.5708
1.9622529470751575,0.39640203123495477,interstitial,-1.5708
1.122084175826484,0.4746740295516637,interstitial,-1.5708
1.8670683662631418,0.34946747253110055,interstitial,-1.5708
1.2374044960345498,0.4371089463389096,interstitial,-1.5708
1.1462279237625705,0.33993876400104434,interstitial,-1.5708
1.4210769596750277,0.6886612031877567,interstitial,-1.5708
-0.046680193574884246,0.7065291733940529,interstitial,-1.5708
1.1460992637223368,0.6304057999571743,interstitial,-1.5708
1.2148723531246133,0.3773875145485259,interstitial,-1.5708
1.5364089738597941,0.7308481081066847,interstitial,-1.5708
0.23732341632184017,0.35628624156345323,interstitial,-1.5708
0.6658658167821515,0.7087292231505145,interstitial,-1.5708
0.9044575931024609,0.4255856692696039,interstitial,-1.5708
1.0832679800526248,0.4661593291066499,interstitial,-1.5708
1.0995087102211007,0.4527156369570431,interstitial,-1.5708
2.0465243473636656,0.4179198517726485,interstitial,-1.5708
1.325227580672787,0.2295687677628225,interstitial,-1.5708
1.7161578205287547,0.12820582901719432,interstitial,-1.5708
2.6598400244936253,0.6772358202311171,interstitial,-1.5708
0.7181465053134783,0.27653806798074965,interstitial,-1.5708
1.0376989413064408,0.061380326973209776,interstitial,-1.5708
0.946034965730323,0.38863589570095425,interstitial,-1.5708
1.2578733347708062,0.35759930806119716,interstitial,-1.5708
1.5803514351126426,0.6324356653403461,interstitial,-1.5708
1.2949923437259472,0.1364273369146905,interstitial,-1.5708
-0.30207766668851765,0.24557275679294757,interstitial,-1.5708
2.35389460745309,0.6783781848548082,interstitial,-1.5708
0.9949866192557391,0.747568450945327,interstitial,-1.5708
0.8606824707232752,0.3006573477275753,interstitial,-1.5708
